stub1,ube2d1b
VNX1,cax1
Prkaca,cnbpa
apc,axin1
apc,mstnb
axin1,mstnb
apc,cdkn1a
axin1,cdkn1a
prickle1a,wnt11
nkx2.9,nkx2.2a
nkx2.9,nkx2.2b
nkx2.2a,nkx2.2b
spaw,dand5
ndr1,dand5
ndr2,dand5
ankrd6b,Dvl2
dub,fzd2
wnt5b,fzd2
fgf3,hnf1ba
fgf3,wnt8b
wnt11,fzd5
wnt8b,fzd8a
dvl2,klhl12
dvl3a,klhl12
dvl2,dvl3a
bbs4,wnt11
bbs1,wnt11
mkks,wnt11
mkks,wnt5b
bbs1,wnt5b
bbs4,wnt5b
camk2a,camk2n1a
camk2a,camk2n2
ndr2,bmp4
wnt8a,bmp4
ndr2,wnt8a
wnt11,gpc4
wnt8a,vox
wnt8a,vent
wnt8a,bmp2b
wnt5b,ryk
tob1b,ctnnb2
Tob1,ctnnb2
Tob2,ctnnb2
Tob1,smad3a
Tob2,smad3b
tob1b,smad3a
tob1b,smad3b
smad3a,tob1a
smad3b,tob1a
Smad3,tob1a
Smad4,tob1a
Smad6,tob1a
Smad7,tob1a
Smad1,tob1a
Smad2,tob1a
Ep300,smad3a
Ep300,smad3b
tob1a,ctnnb2
ctnnb2,lef1
tob1a,lef1
tob1a,wnt8a
wnt3a,wnt8a
wnt3a,sp5l
TGFBR1,dact2
vent,ved
vox,ved
wnt8a,sp5l
wnt8a,lhx5
wnt8a,sfrp1a
wnt8a,sfrp5
lhx5,sfrp5
lhx5,sfrp1a
wnt11,vangl2
akt2,badb
akt2,slc2a1a
smarcd3b,ta
smarca4a,ta
epb41l5,crb1
epb41l5,crb2a
epb41l5,crb2b
epb41l5,mib1
cxcr4b,cxcl12a
crb1,notch1a
crb2a,notch1a
crb2b,notch1a
wnt11,desi2
plxnb2a,sema3e
sema3e,plxnd1
ta,gpc4
ta,wnt5b
setd3,h3f3b.1
bmi1a,cbx4
bmi1a,phc2a
bmi1a,rnf2
bmi1b,cbx4
bmi1b,phc2a
bmi1b,rnf2
rnf2,cbx4
rnf2,phc2a
cbx4,phc2a
runx2b,Vdr
runx2b,VDR
runx2b,vdra
Runx2,vdra
mib1,mib2
mib2,ubb
mib2,dld
mib1,dld
mib2,dla
mib1,dla
mib2,dlc
mib1,dlc
dlc,ubb
CUL3,btbd6a
zbtb16a,btbd6a
dvl1b,nkd2a
smarca4a,tbx5a
setd8a,wnt8a
dld,UBC
mib1,POLD1
prmt1,fbl
shfm1,psmd3
trim3a,ubc
lnx2b,hdac1
e4f1,hdac1
lnx2b,tcf7l1a
e4f1,tcf7l1a
lnx2b,TLE3
tcf7l1a,TLE3
tcf7l1a,HDAC1
lnx2b,HDAC1
E4F1,tcf7l1a
TLE1,tcf7l1a
CFTR,cse1l
UBE2N,ube2v2
UBE2N,ube2v1
UBC13,ube2v2
UBC13,ube2v1
ube2nb,ube2v2
ube2nb,ube2v1
ube2nb,ubc
ube2nb,tp53
Mib1,snx5
SUMO3,uspl1
uspl1,RANGAP1
nxf1,KPNB1
nxf1,TNPO1
nxf1,IPO11
nxf1,IMPA1
mdm4,TP53
lats2,snai1a
yy1a,arrb1
LOC100149029,kidins220b
mib1,psmd1
mib1,actn2b
mib1,actn4
mib1,exoc3
mib1,pax3a
mib1,pax7a
mib1,ddx5
mib1,plk4
mib1,abat
mib1,atp2b4
mib1,fam76b
mib1,LOC560099
mib2,usp13
mib2,uba52
mib2,usp5
mib2,usp9
mib2,ubc
mib2,rps27a
mib2,sept7a
mib2,eps15
mib2,epn2
mib2,pax7a
mib2,otx2
mib2,hltf
mib2,tab3
mib2,ywhaqb
mib2,ywhabb
mib2,gtpbp4
mib2,ankrd52a
mib2,ide
mib2,cab39l
mib2,rpz
mib2,ankrd13a
mib2,lix1
mib2,LOC567317
mib1,usp1
mib1,psma5
mib1,psmd4a
mib1,zranb1b
mib1,mylpfa
mib1,myl13
mib1,actn3a
mib1,cfl1
mib1,cyt1l
mib1,exoc1
mib1,uso1
mib1,tomm20b
mib1,prpf6
mib1,cpsf3
mib1,rpa2
mib1,sf3a3
mib1,pabpc1a
mib1,maf
mib1,atoh1a
mib1,rpl27
mib1,rplp0
mib1,rpl17
mib1,hif1an
mib1,ywhaqa
mib1,lrpap1
mib1,bcap31
mib1,si:ch1073-296d18.1
mib1,pgrmc1
mib1,ckma
mib1,ckbb
mib1,csnk2b
mib1,yaf2
mib1,apoa1a
mib1,apoeb
mib1,naca
mib1,hspa5
mib1,gdi2
mib1,hspa8
mib1,hsp90ab1
mib1,hspa9
mib1,si:ch211-137a8.4
mib2,usp1
mib1,usp9
mib2,zranb1b
mib2,hif1an
hif1an,ubc
zranb1b,ubc
kctd15b,tfap2a
UBE2V2,ube2nb
UBE2V1,ube2nb
MMS2,ube2nb
ube2nb,UBC
jade1,nphp4
tnrc6a,CDC39
tnrc6a,CCR4
tnrc6a,DHH1
usp7,gli1
usp7,gli2a
usp7,gli3
hoxa2b,rchy1
mib1,Ctnnd1
