KIF3A,TMEM245
KIF3B,TMEM245
PIK3R1,PDGFRB
HSBP1,HSBP1
CASP3,SRP72
PSMA7,RAB7A
AQP2,UBC
AQP2,UBC
Nphs1,CTNND1
Nphs1,CTNND1
Nphs1,CD2AP
Nphs1,CD2AP
Nphs1,TJP1
CD2AP,CDH3
Nphs1,CDH3
CD2AP,Nphs1
CLDN2,SUMO1
NEDD4,ANXA13
NEDD4,ANXA13
ANXA13,NEDD4
NEDD4,ANXA13
NEDD4,ANXA13
SEC62,SEC61B
SNCA,ACTA1
Rala,CSDA
Rala,CSDA
CSDA,RALA
CALR,PDIA2
CALR,PDIA2
PSE1,RAN
DTNA,TJP1
DTNA,ACTB
LOC488213,RB1
CAV1,CAV2
CAV2,CAV1
LNX1,IGSF5
MYOCD,UBC
WDR83,PARD6B
CREBZF,SP1
CREBBP,CREBZF
SP1,CREBZF
CREBBP,SP1
CREM,SP1
CAV1,HRAS
CAV1,HRAS
PDZRN3,CLDN16
